categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA B,FACUNDO DAVIS,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,3.6666666666666665,3,114,35,83,36,59,30,27,146,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/dGEFBC7Wyjm1AkzuCN5Mf7.jpg
PRIMERA B,FACUNDO DIAZ KOZAK,2.0,0.5,6.0,0.0,1.0,0.0,0.5,9.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO DUARTE ARAUZ,10.75,0.25,4.5,3.75,1.25,1.5,1.0,16.5,4,36,36,50,5,49,12,27,53,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO ECHEVARRIA,2.75,0.5,6.0,0.25,1.25,0.0,0.75,10.0,4,97,32,34,37,49,30,30,97,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO GALARZA,13.333333333333334,1.3333333333333333,5.0,2.0,2.6666666666666665,2.0,0.3333333333333333,20.0,3,22,21,44,15,32,7,36,37,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jAv7KwdDga5c51hBD6xj5F.JPG
PRIMERA B,FACUNDO HERNAN BADARIOTTI,2.75,0.5,1.75,0.0,1.0,0.25,0.25,5.25,4,97,32,79,39,52,27,37,134,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/oUpQizfSnRBwxKGBXHFAxZ.jpg
PRIMERA B,FACUNDO MARINO,20.0,0.4,7.6,3.0,7.0,1.0,2.4,30.4,5,4,34,24,8,2,17,8,7,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/s6MvzF15SE1XzTrisztz7K.jpg
PRIMERA B,FACUNDO NICOLAS CHAIN,10.0,1.0,4.0,2.0,4.0,0.0,4.0,19.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO PASSEGGI,14.25,2.25,8.0,3.5,3.5,1.25,1.25,25.75,4,16,11,21,7,25,15,24,13,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO PONTILLO,0.0,0.5,2.0,0.0,0.0,0.0,0.5,3.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FACUNDO TORRES,14.4,1.6,9.4,1.2,6.6,0.0,0.0,25.4,5,14,18,12,25,3,30,39,15,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/2dtUKYSSBbfHvXCQSVPCz6.jpg
